feature,coefficient
V4,0.690861479896509
V14,-0.667744547934973
V10,-0.6340542711865276
V13,-0.5031576813405984
V22,0.48207311985067347
V27,-0.39047298688502485
V16,-0.38278607838176365
V21,0.3023258481267979
V20,-0.28318448965864
V9,-0.1960821195162757
V8,-0.18584304935520485
V15,-0.15927960211570052
V6,-0.11582817770736546
V12,0.11334094472601478
V23,-0.099130605043721
Amount_scaled,0.09304675700484517
V28,-0.09009985938038546
V5,0.08514154978472419
V25,-0.07660885289735198
V11,-0.06189616978377963
V19,-0.046041507027491976
V24,0.041168278775985764
V18,-0.03732829387112751
Time_scaled,0.0281927253137908
V17,-0.018241536643637035
V2,0.014430020693374974
V1,0.013807483931952962
V26,-0.011045064078145586
V7,-0.0029470383004736034
V3,0.001761869530323184
